primary_key,session_key,exercise_key,exercise_measurement_key,date,value
gym_pull_barbell_row_weight_kg_20260502,gym_pull_barbell_row_20260502,gym_pull_barbell_row,gym_pull_barbell_row_weight_kg,2026-05-02,70
gym_pull_barbell_row_weight_kg_20260509,gym_pull_barbell_row_20260509,gym_pull_barbell_row,gym_pull_barbell_row_weight_kg,2026-05-09,72.5
gym_pull_barbell_row_reps_n_20260502,gym_pull_barbell_row_20260502,gym_pull_barbell_row,gym_pull_barbell_row_reps_n,2026-05-02,10
gym_pull_barbell_row_reps_n_20260509,gym_pull_barbell_row_20260509,gym_pull_barbell_row,gym_pull_barbell_row_reps_n,2026-05-09,10
gym_pull_lat_pulldown_weight_kg_20260502,gym_pull_lat_pulldown_20260502,gym_pull_lat_pulldown,gym_pull_lat_pulldown_weight_kg,2026-05-02,55
gym_pull_lat_pulldown_weight_kg_20260509,gym_pull_lat_pulldown_20260509,gym_pull_lat_pulldown,gym_pull_lat_pulldown_weight_kg,2026-05-09,60
gym_pull_lat_pulldown_reps_n_20260502,gym_pull_lat_pulldown_20260502,gym_pull_lat_pulldown,gym_pull_lat_pulldown_reps_n,2026-05-02,12
gym_pull_lat_pulldown_reps_n_20260509,gym_pull_lat_pulldown_20260509,gym_pull_lat_pulldown,gym_pull_lat_pulldown_reps_n,2026-05-09,12
gym_pull_bicep_curl_weight_kg_20260502,gym_pull_bicep_curl_20260502,gym_pull_bicep_curl,gym_pull_bicep_curl_weight_kg,2026-05-02,16
gym_pull_bicep_curl_weight_kg_20260509,gym_pull_bicep_curl_20260509,gym_pull_bicep_curl,gym_pull_bicep_curl_weight_kg,2026-05-09,18
gym_pull_bicep_curl_reps_n_20260502,gym_pull_bicep_curl_20260502,gym_pull_bicep_curl,gym_pull_bicep_curl_reps_n,2026-05-02,12
gym_pull_bicep_curl_reps_n_20260509,gym_pull_bicep_curl_20260509,gym_pull_bicep_curl,gym_pull_bicep_curl_reps_n,2026-05-09,12
gym_legs_squat_weight_kg_20260503,gym_legs_squat_20260503,gym_legs_squat,gym_legs_squat_weight_kg,2026-05-03,110
gym_legs_squat_weight_kg_20260510,gym_legs_squat_20260510,gym_legs_squat,gym_legs_squat_weight_kg,2026-05-10,115
gym_legs_squat_reps_n_20260503,gym_legs_squat_20260503,gym_legs_squat,gym_legs_squat_reps_n,2026-05-03,6
gym_legs_squat_reps_n_20260510,gym_legs_squat_20260510,gym_legs_squat,gym_legs_squat_reps_n,2026-05-10,6
gym_legs_romanian_deadlift_weight_kg_20260503,gym_legs_romanian_deadlift_20260503,gym_legs_romanian_deadlift,gym_legs_romanian_deadlift_weight_kg,2026-05-03,90
gym_legs_romanian_deadlift_weight_kg_20260510,gym_legs_romanian_deadlift_20260510,gym_legs_romanian_deadlift,gym_legs_romanian_deadlift_weight_kg,2026-05-10,95
gym_legs_romanian_deadlift_reps_n_20260503,gym_legs_romanian_deadlift_20260503,gym_legs_romanian_deadlift,gym_legs_romanian_deadlift_reps_n,2026-05-03,8
gym_legs_romanian_deadlift_reps_n_20260510,gym_legs_romanian_deadlift_20260510,gym_legs_romanian_deadlift,gym_legs_romanian_deadlift_reps_n,2026-05-10,8
running_distance_5k_run_distance_km_20260504,running_distance_5k_run_20260504,running_distance_5k_run,running_distance_5k_run_distance_km,2026-05-04,5
running_distance_5k_run_distance_km_20260511,running_distance_5k_run_20260511,running_distance_5k_run,running_distance_5k_run_distance_km,2026-05-11,5
running_distance_5k_run_speed_min_per_km_20260504,running_distance_5k_run_20260504,running_distance_5k_run,running_distance_5k_run_speed_min_per_km,2026-05-04,5.2
running_distance_5k_run_speed_min_per_km_20260511,running_distance_5k_run_20260511,running_distance_5k_run,running_distance_5k_run_speed_min_per_km,2026-05-11,5.0
running_distance_10k_run_distance_km_20260504,running_distance_10k_run_20260504,running_distance_10k_run,running_distance_10k_run_distance_km,2026-05-04,10
running_distance_10k_run_distance_km_20260511,running_distance_10k_run_20260511,running_distance_10k_run,running_distance_10k_run_distance_km,2026-05-11,10
running_distance_10k_run_speed_min_per_km_20260504,running_distance_10k_run_20260504,running_distance_10k_run,running_distance_10k_run_speed_min_per_km,2026-05-04,5.8
running_distance_10k_run_speed_min_per_km_20260511,running_distance_10k_run_20260511,running_distance_10k_run,running_distance_10k_run_speed_min_per_km,2026-05-11,5.6
cycling_distance_endurance_ride_distance_km_20260505,cycling_distance_endurance_ride_20260505,cycling_distance_endurance_ride,cycling_distance_endurance_ride_distance_km,2026-05-05,60
cycling_distance_endurance_ride_distance_km_20260512,cycling_distance_endurance_ride_20260512,cycling_distance_endurance_ride,cycling_distance_endurance_ride_distance_km,2026-05-12,70
cycling_distance_endurance_ride_speed_kmh_20260505,cycling_distance_endurance_ride_20260505,cycling_distance_endurance_ride,cycling_distance_endurance_ride_speed_kmh,2026-05-05,27
cycling_distance_endurance_ride_speed_kmh_20260512,cycling_distance_endurance_ride_20260512,cycling_distance_endurance_ride,cycling_distance_endurance_ride_speed_kmh,2026-05-12,28
